,measureName,campaignName,time,measureValue
45,Vehicle.Body.Lights.Beam.Low.IsOn,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:15.240000000,0
46,Vehicle.Body.Lights.Beam.Low.IsOnStatus,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:15.240000000,0
47,Vehicle.Cabin.HVAC.IsAirConditioningActiveStatus,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:15.797000000,1
48,Vehicle.Cabin.HVAC.ComfortState,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:15.317000000,0
49,Vehicle.Cabin.HVAC.InteriorAirTemperature,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:15.321000000,16.0
50,Vehicle.Body.Lights.IsHighBeamSwitchOn,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.505000000,0
51,Vehicle.Cabin.HVAC.AQILevel,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.582000000,0
52,Vehicle.Cabin.HVAC.AQIValue,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.582000000,4
53,Vehicle.Cabin.HVAC.AmbientAirTemperature,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.586000000,26.0
54,Vehicle.Cabin.HVAC.DominantPollutantValue,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.582000000,1
55,Vehicle.Cabin.HVAC.IsAirConditioningActive,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.586000000,1
56,Vehicle.Chassis.Accelerator.PedalPosition,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.603000000,0.0
57,Vehicle.Chassis.Axle.Row1.Wheel.Left.Tire.Pressure,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.561000000,0.0
58,Vehicle.Chassis.Axle.Row1.Wheel.Right.Tire.Pressure,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.561000000,0.0
59,Vehicle.Chassis.Axle.Row2.Wheel.Left.Tire.Pressure,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.561000000,0.0
60,Vehicle.Chassis.Axle.Row2.Wheel.Right.Tire.Pressure,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.561000000,0.0
61,Vehicle.Chassis.Brake.PedalPosition,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.603000000,1.0
62,Vehicle.Chassis.ParkingBrake.IsEngaged,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.577000000,1
63,Vehicle.IgnitionStatus,TML_SANDBOX_SENSORS_TS,2024-08-07 11:36:17.540000000,0.0
